composer,title,labels
czerny,"Sonata No. 1 in A-Flat Major, Op. 7 - I. Andante - Allegro moderato ed espressivo",['sonata']
czerny,"Sonata No. 1 in A-Flat Major, Op. 7 - II. Prestissimo agitato",['scherzo_and_trio']
czerny,"Sonata No. 1 in A-Flat Major, Op. 7 - III. Adagio espressivo e cantabile",['sonata']
czerny,"Sonata No. 1 in A-Flat Major, Op. 7 - IV. Rondo. Allegretto",['rondo_sonata']
czerny,"Sonata No. 1 in A-Flat Major, Op. 7 - V. Capriccio Fugato. Tempo moderato",['fugue']
czerny,"Piano Sonata No. 2 in A Minor, Op. 13 - I. Molto allegro",['sonata']
czerny,"Piano Sonata No. 2 in A Minor, Op. 13 - II. Adagio sostenuto",['ternary']
czerny,"Piano Sonata No. 2 in A Minor, Op. 13 - III. Scherzo. Presto - Trio",['scherzo_and_trio']
czerny,"Piano Sonata No. 2 in A Minor, Op. 13 - IV. Allegro agitato",['sonata']
czerny,"Piano Sonata No. 2 in A Minor, Op. 13 - V. A la Fuga. Allegro energico",['fugue']
czerny,"Piano Sonata No. 3 in F Minor, Op. 57 - I. Allegro moderato",['sonata']
czerny,"Piano Sonata No. 3 in F Minor, Op. 57 - II. Andante con moto ma serioso","['ternary', 'rondo']"
czerny,"Piano Sonata No. 3 in F Minor, Op. 57 - III. Scherzo. Allegro molto agitato",['scherzo_and_trio']
czerny,"Piano Sonata No. 3 in F Minor, Op. 57 - IV. Finale. Allegro ma non troppo, Capriccioso",['sonata']
czerny,"Piano Sonata No. 4 in G Major, Op. 65 - I. Allegro vivace con energia",['sonata']
czerny,"Piano Sonata No. 4 in G Major, Op. 65 - II. Adagio molto espressivo",['sonata']
czerny,"Piano Sonata No. 4 in G Major, Op. 65 - III. Presto",['binary']
czerny,"Piano Sonata No. 4 in G Major, Op. 65 - IV. Finale. Rondino scherzando",['rondo']
czerny,"Piano Sonata No. 5 in E Major, Op. 76 - I. Allegro molto moderato ed espressivo","['ternary', 'rondo']"
czerny,"Piano Sonata No. 5 in E Major, Op. 76 - II. Aria. Andante cantabile",['ternary']
czerny,"Piano Sonata No. 5 in E Major, Op. 76 - III. Scherzo. Presto",['scherzo_and_trio']
czerny,"Piano Sonata No. 5 in E Major, Op. 76 - IV. Andantino con Variazione",['theme_and_variation']
czerny,"Piano Sonata No. 5 in E Major, Op. 76 - V. Finale. Toccatina - Allegro moderato",['binary']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - I. Introduzione. Adagio sostenuto ed espressivo",['sonata']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - II. Allegretto con moto - vivace ma serioso",['rondo']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - III. Scherzo & Trio. Presto",['scherzo_and_trio']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - IV. Chorale der Böhmen",['theme_and_variation']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - V. Presto scherzando",['scherzo_and_trio']
czerny,"Piano Sonata No. 6 in D Minor, Op. 124 - VI. Finale. Allegro con fuoco",['sonata']
czerny,"Piano Sonata No. 7 in E Minor, Op. 143 - I. Allegro spiritoso",['sonata']
czerny,"Piano Sonata No. 7 in E Minor, Op. 143 - II. Andante. Sempre legato",['ternary']
czerny,"Piano Sonata No. 7 in E Minor, Op. 143 - III. Scherzo. Allegro vivo",['scherzo_and_trio']
czerny,"Piano Sonata No. 7 in E Minor, Op. 143 - IV. Allegretto",['ternary']
czerny,"Piano Sonata No. 7 in E Minor, Op. 143 - V. Finale. Allegro molto",['sonata']
czerny,"Piano Sonata No. 8 in E-Flat Major, Op. 144 - I. Allegro moderato",['sonata']
czerny,"Piano Sonata No. 8 in E-Flat Major, Op. 144 - II. Menuetto & Trio - Allegro non troppo",['scherzo_and_trio']
czerny,"Piano Sonata No. 8 in E-Flat Major, Op. 144 - III. Adagio con sentimento",['rondo_sonata']
czerny,"Piano Sonata No. 8 in E-Flat Major, Op. 144 - IV. Scherzo. Prestissimo",['ternary']
czerny,"Piano Sonata No. 8 in E-Flat Major, Op. 144 - V. Rondo. Allegretto moderatissimo",['rondo']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - I. Allegro con brio",['sonata']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - II. Scherzo. Allegro molto - Trio, Un poco sostenuto",['scherzo_and_trio']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - III. Adagio, Molto espressivo",['sonata']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - IV. Allegro vivace",['scherzo_and_trio']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - V. Rondo. Allegro moderato",['rondo_sonata']
czerny,"Piano Sonata No. 9 in B Minor, Op. 145 - VI. Fuga. Allegro",['fugue']
czerny,"Piano Sonata No.10 in B-Flat Major, Op. 268 - I. Allegro con spirito",['sonata']
czerny,"Piano Sonata No.10 in B-Flat Major, Op. 268 - II. Adagio espressivo",['ternary']
czerny,"Piano Sonata No.10 in B-Flat Major, Op. 268 - III. Scherzo - Molto allegro quasi presto",['scherzo_and_trio']
czerny,"Piano Sonata No.10 in B-Flat Major, Op. 268 - IV. Finale - Allegro con fuoco",['rondo_sonata']
czerny,"Piano Sonata No. 11 in D-Flat Major, Op. 730 - I. Allegro agitato con spirito",['rondo_sonata']
czerny,"Piano Sonata No. 11 in D-Flat Major, Op. 730 - II. Adagio con espressione",['rondo']
czerny,"Piano Sonata No. 11 in D-Flat Major, Op. 730 - III. Scherzo. Molto allegro",['scherzo_and_trio']
czerny,"Piano Sonata No. 11 in D-Flat Major, Op. 730 - IV. Finale. Allegretto con anima",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 1 No. 1- I. Allegro con comodo",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 1 No. 1- II. Tempo di minuetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Major, Op. 1 No. 2- I. Spiritoso",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Major, Op. 1 No. 2- II. Allegro assai",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 1 No. 3- I. Maestoso",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 1 No. 3- II. Andantino grazioso",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 1 No. 4- I. Spiritoso",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 1 No. 4- II. Larghetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 1 No. 4- III. Rondeaux",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 1 No. 5- I. Larghetto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 1 No. 5- II. Tempo di menuetto. Grazioso",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E Major, Op. 1 No. 6- I. Moderato",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E Major, Op. 1 No. 6- II. Rondeau. Grazioso",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 2 No. 2- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 2 No. 2- II. Rondeau. Spiritoso",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 2 No. 4- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 2 No. 4- II. Spiritoso",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 2 No. 6- I. Allegro di molto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 2 No. 6- II. Prestissimo",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 7 No. 1- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 7 No. 1- II. Mesto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 7 No. 1- III. Rondeau. Allegro",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 7 No. 2- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 7 No. 2- II. Andantino allegretto - Presto - Allegretto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 7 No. 3- I. Allegro con spirito",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 7 No. 3- II. Cantabile e lento",['binary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 7 No. 3- III. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 8 No. 1- I. Allegro con molto spirito",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 8 No. 1- II. Andante cantabile",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Minor, Op. 8 No. 1- III. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 8 No. 2- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 8 No. 2- II. Larghetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 8 No. 2- III. Rondeau. Allegro",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 8 No. 3- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 8 No. 3- II. Minuetto. Allegro",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 8 No. 3- III. Rondeau. Allegretto grazioso",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 9 No. 1- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 9 No. 1- II. Larghetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 9 No. 1- III. Rondo. Prestissimo",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 9 No. 2- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 9 No. 2- II. Lento",['binary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 9 No. 2- III. Rondo. Allegro spiritoso",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 9 No. 3- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 9 No. 3- II. Larghetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 9 No. 3- III. Prestissimo",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 10 No. 1- I. Allegro con spiritoso",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 10 No. 1- II. Minuetto. Allegro con molto - Trio",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 10 No. 1- III. Prestissimo",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in D Major, Op. 10 No. 2- I. Andante. Maestoso",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in D Major, Op. 10 No. 2- II. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 10 No. 3- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 10 No. 3- II. Tempo di minuetto con espressione e andante",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 10 No. 3- III. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 11- I. Allegro (Second Version)",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 11- II. Larghetto con espressione (Second Version)",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 11- III. Rondo. Allegro di molto (Second Version)",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 12 No. 1- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 12 No. 1- II. Larghetto con espressione",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 12 No. 1- III. 'Lindor' with Variations. Allegretto",['theme_and_variation']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 2- I. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 2- II. Largo",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 2- III. Rondo. Allegro assai",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 12 No. 3- I. Allegro di molto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 12 No. 3- II. Largo",['binary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 12 No. 3- III. Rondeau. Allegro",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 4- I. Allegro",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 4- II. Lento",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 12 No. 4- III. Rondeau. Allegro con spirito",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 13 No. 4- I. Allegro con spirito",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 13 No. 4- II. Adagio",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 13 No. 4- III. Allegro assai",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 13 No. 5- I. Allegro",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 13 No. 5- II. Larghetto",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 13 No. 5- III. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Minor, Op. 13 No. 6- I. Allegro agitato",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Minor, Op. 13 No. 6- II. Largo e sostenuto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Minor, Op. 13 No. 6- III. Presto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - La Chasse in D Major, Op. 16- I. Allegro",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - La Chasse in D Major, Op. 16- II. Andante vivace",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - La Chasse in D Major, Op. 16- III. Allegro assai",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 20- I. Allegro",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 20- II. Larghetto con espressione",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 20- III. Allegro molto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 23 No. 1- I. Allegro molto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 23 No. 1- II. Rondeau. Vivace",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 23 No. 2- I. Allegro con spirito",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 23 No. 2- II. Adagio",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 23 No. 2- III. Rondo. Allegro con spirito",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 23 No. 3- I. Allegro con vivacità",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in E-Flat Major, Op. 23 No. 3- II. Air with 8 Variations. Allegretto vivace",['theme_and_variation']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 24 No. 1- I. Allegro assai",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 24 No. 1- II. Adagio",['binary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F Major, Op. 24 No. 1- III. Arietta Con variazione. Vivace",['theme_and_variation']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 24 No. 2- I. Allegro con brio",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 24 No. 2- II. Andante quasi allegretto",['binary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 24 No. 2- III. Rondo. Allegro assai",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 25 No. 1- I. Allegro di molto",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 25 No. 1- II. Adagio",['ternary']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in C Major, Op. 25 No. 1- III. Rondeau. Presto",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Major, Op. 25 No. 2- I. Allegro con brio",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in G Major, Op. 25 No. 2- II. Rondo. Un poco allegro",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 25 No. 3- I. Allegro",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in B-Flat Major, Op. 25 No. 3- II. Rondo. Vivace",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 25 No. 4- I. Maestoso e cantabile",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in A Major, Op. 25 No. 4- II. Molto allegro",['rondo']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F-Sharp Minor, Op. 25 No. 5- I. Più tosto allegro con espressione",['sonata']
clementi,"Muzio Clementi, Costantino Mastroprimiano - Sonata in F-Sharp Minor, Op. 25 No. 5- II. Lento e patetico",['binary']
